Constituency,Surname,First Name,Gender,Party,Party Abbreviation,Count Number,Required To Reach Quota,Required To Save Deposit,Votes,Result,Candidate Id,Constituency Number,Constituency Ainm,Year,Full Name
Galway West, Ó Cuív,Éamon,M,Fianna Fáil,F.F.,14,0,0,9539,Elected,165,23,Gaillimh Thiar,2016,Éamon  Ó Cuív
Louth,Adams,Gerry,M,Sinn Féin,S.F.,11,0,0,10661,Elected,160,31,Lú,2016,Gerry Adams
Cork  East,Ahern,Barbara,F,Fianna Fáil,F.F.,10,3781,0,4594,,169,4,Corcaigh Thoir,2016,Barbara Ahern
Waterford,Ahmed,Sheik Mohiuddin,M,Non-Party,NON-P.,9,0,2443,140,Excluded,160,38,Port  Lairge,2016,Sheik Mohiuddin Ahmed
Dublin Mid-West,Akpoveta,Patrick,M,Non-Party,NON-P.,12,0,1813,288,Excluded,187,643,Baile Átha Cliath Thiar-Meán,2016,Patrick Akpoveta
Tipperary,Ambrose,Siobhán,F,Fianna Fáil,F.F.,7,0,0,4472,Excluded,160,36,Tiobraid Árann,2016,Siobhán Ambrose
Dublin Bay South,Andrews,Chris,M,Sinn Féin,S.F.,8,0,0,3774,Excluded,174,17,Cuan Bhaile Átha Cliath Theas,2016,Chris Andrews
Dublin South-Central,Ardagh,Catherine,F,Fianna Fáil,F.F.,11,728,0,5441,Excluded,160,16,Baile Átha Cliath Theas-Lár,2016,Catherine Ardagh
Carlow-Kilkenny,Aylward,Bobby,M,Fianna Fáil,F.F.,11,334,0,9366,Elected,160,1,Ceatharlach-Cill Chainnigh,2016,Bobby Aylward
Dún Laoghaire,Bailey,Maria,F,Fine Gael,F.G.,7,0,0,10489,Elected,232,21,Dún Laoghaire,2016,Maria Bailey
Longford-Westmeath,Bannon,James,M,Fine Gael,F.G.,15,0,0,4639,Excluded,227,30,An Longfort-An Iarmhí,2016,James Bannon
Cork North-Central,Barry,Mick,M,Anti-Austerity Alliance - People Before Profit,AAA-PBP,11,0,0,8041,Elected,160,5,Corcaigh Thuaidh-Lár,2016,Mick Barry
Cork  East,Barry,Tom,M,Fine Gael,F.G.,10,0,0,3461,Excluded,162,4,Corcaigh Thoir,2016,Tom Barry
Wicklow,Behan,Joe,M,Non-Party,NON-P.,10,0,0,3070,Excluded,160,41,Cill Mhantáin,2016,Joe Behan
Kildare North,Beirne,Michael,M,Non-Party,NON-P.,9,0,2059,372,Excluded,160,26,Cill Dara Thuaidh,2016,Michael Beirne
Limerick City,Bennis,Nora,F,Catholic Democrats,C.D.,6,0,1516,673,Excluded,160,28,Cathair Luimnigh,2016,Nora Bennis
Cork South-Central,Bogue,Lorna,F,Green Party/ Comhaontas Glas,G.P.,11,0,0,2064,Excluded,243,7,Corcaigh Theas-Lár,2016,Lorna Bogue
Meath East,Bonner,Joseph,M,Non-Party,NON-P.,9,0,0,2482,Excluded,178,34,An Mhí Thoir,2016,Joseph Bonner
Offaly,Bopp,Kate,F,Non-Party,NON-P.,7,0,2199,549,Excluded,161,37,Uíbh Fhailí,2016,Kate Bopp
Dún Laoghaire,Boyd Barrett,Richard,M,Anti-Austerity Alliance - People Before Profit,AAA-PBP,7,0,0,9775,Elected,233,21,Dún Laoghaire,2016,Richard Boyd Barrett
Cork  East,Bradford,Paul,M,Renua Ireland,R.I.,10,0,0,3244,Excluded,164,4,Corcaigh Thoir,2016,Paul Bradford
Louth,Bradley,David,M,Non-Party,NON-P.,11,0,2495,319,Excluded,161,31,Lú,2016,David Bradley
Dublin South-Central,Bradley,Neville,M,Direct Democracy Ireland,D.D.I.,11,0,1737,407,Excluded,161,16,Baile Átha Cliath Theas-Lár,2016,Neville Bradley
Wicklow,Brady,John,M,Sinn Féin,S.F.,10,0,0,11151,Elected,161,41,Cill Mhantáin,2016,John Brady
Kerry,Brassil,John,M,Fianna Fáil,F.F.,11,421,0,8156,Elected,160,24,Ciarraí,2016,John Brassil
Louth,Breathnach,Declan,M,Fianna Fáil,F.F.,11,0,0,9099,Elected,162,31,Lú,2016,Declan Breathnach
Sligo-Leitrim,Bree,Declan,M,Non-Party,NON-P.,15,0,0,3250,Excluded,160,35,Sligeach-Liatroim,2016,Declan Bree
Clare,Breen,Pat,M,Fine Gael,F.G.,12,1313,0,6583,Elected,160,3,An Clár,2016,Pat Breen
Wicklow,Briggs,Sharon,F,Anti-Austerity Alliance - People Before Profit,AAA-PBP,10,0,649,1241,Excluded,162,41,Cill Mhantáin,2016,Sharon Briggs
Dublin South-West,Brophy,Colm,M,Fine Gael,F.G.,16,573,0,7195,Elected,202,19,Baile Átha Cliath Thiar Theas,2016,Colm Brophy
Dublin Bay North,Broughan,Tommy,M,Independents 4 Change,I.4.C,15,706,0,5361,Elected,160,13,Cuan Bhaile Átha Cliath Thuaidh,2016,Tommy Broughan
Wexford,Browne,James,M,Fianna Fáil,F.F.,14,0,0,9827,Elected,160,40,Loch Garman,2016,James Browne
Limerick County,Browne,Seamus,M,Sinn Féin,S.F.,6,0,0,3347,Excluded,160,29,Contae Luimnigh,2016,Seamus Browne
Dublin Bay North,Bruton,Richard,M,Fine Gael,F.G.,15,0,0,9792,Elected,161,13,Cuan Bhaile Átha Cliath Thuaidh,2016,Richard Bruton
Cork  East,Buckley,Pat,M,Sinn Féin,S.F.,10,1923,0,5358,Elected,161,4,Corcaigh Thoir,2016,Pat Buckley
Cork  East,Bullman,Paddy,M,Non-Party,NON-P.,10,0,2400,241,Excluded,196,4,Corcaigh Thoir,2016,Paddy Bullman
Dublin Central,Burke,Christy,M,Non-Party,NON-P.,11,0,0,2406,Excluded,160,11,Baile Átha Cliath Láir,2016,Christy Burke
Dublin South-West,Burke,Declan,M,Non-Party,NON-P.,16,0,2243,515,Excluded,203,19,Baile Átha Cliath Thiar Theas,2016,Declan Burke
Longford-Westmeath,Burke,Peter,M,Fine Gael,F.G.,15,0,0,5681,Elected,228,30,An Longfort-An Iarmhí,2016,Peter Burke
Dublin West,Burton,Joan,F,The Labour Party,LAB.,5,382,0,6445,Elected,176,20,Baile Átha Thiar,2016,Joan Burton
Waterford,Butler,Mary,F,Fianna Fáil,F.F.,9,0,0,10603,Elected,161,38,Port  Lairge,2016,Mary Butler
Meath West,Butler,Ray,M,Fine Gael,F.G.,6,3811,0,4432,,178,39,An Mhí Thiar,2016,Ray Butler
Cork South-Central,Buttimer,Jerry,M,Fine Gael,F.G.,11,2020,0,6419,Excluded,244,7,Corcaigh Theas-Lár,2016,Jerry Buttimer
Wexford,Byrne,Aoife,F,Fianna Fáil,F.F.,14,0,0,3164,Excluded,161,40,Loch Garman,2016,Aoife Byrne
Dublin South-Central,Byrne,Catherine,F,Fine Gael,F.G.,11,0,0,6130,Elected,162,16,Baile Átha Cliath Theas-Lár,2016,Catherine Byrne
Dublin South-Central,Byrne,Eric,M,The Labour Party,LAB.,11,0,0,3297,Excluded,163,16,Baile Átha Cliath Theas-Lár,2016,Eric Byrne
Wexford,Byrne,Malcolm,M,Fianna Fáil,F.F.,14,0,0,6115,Excluded,162,40,Loch Garman,2016,Malcolm Byrne
Meath East,Byrne,Thomas,M,Fianna Fáil,F.F.,9,0,0,10818,Elected,179,34,An Mhí Thoir,2016,Thomas Byrne
Tipperary,Cahill,Jackie,M,Fianna Fáil,F.F.,7,0,0,7414,Elected,161,36,Tiobraid Árann,2016,Jackie Cahill
Clare,Cahill,Richard,M,Non-Party,NON-P.,12,0,2152,699,Excluded,161,3,An Clár,2016,Richard Cahill
Cavan-Monaghan,Callaghan,Micheal,M,Green Party/ Comhaontas Glas,G.P.,10,0,1460,1251,Excluded,160,2,An Cabhán-Muineachán,2016,Micheal Callaghan
Louth,Callan,Kevin,M,Non-Party,NON-P.,11,0,0,3541,Excluded,163,31,Lú,2016,Kevin Callan
Mayo,Calleary,Dara,M,Fianna Fáil,F.F.,10,580,0,9402,Elected,160,32,Maigh Eo,2016,Dara Calleary
Galway East,Canney,Seán,M,Non-Party,NON-P.,7,0,0,8447,Elected,160,22,Gaillimh Thoir,2016,Seán Canney
Galway East,Cannon,Ciaran,M,Fine Gael,F.G.,7,1153,0,7123,Elected,161,22,Gaillimh Thoir,2016,Ciaran Cannon
